"fineratio","highmean","lowmean","sumprecipitation"
"Sapporo",0.616520535302261,13.0630364559299,6.16958929395478,6377.5
"Aomori",0.609418282548476,14.6085872576177,7.51814404432133,8271
"Morioka",0.66497461928934,15.0423627134287,6.79492385786802,7657
"Sendai",0.671144048170449,16.605604446503,9.57799907364521,7869.5
"Akita",0.594519275429633,15.8674872271249,9.03594983743614,9375.5
"Yamagata",0.666666666666667,16.9600925925926,8.26625,7248.5
"Fukushima",0.664659564613247,18.1251968503937,9.74363131079203,7311.5
"Mito",0.689063948100093,18.9078313253012,10.1005560704356,8297
"Utsunomiya",0.668055555555556,19.4342592592593,10.3325462962963,9073
"Maebashi",0.71309578898658,19.9959278111985,11.0661730680241,7567.5
"Kumagaya",0.689990732159407,20.5299351251158,11.4182113067655,7595.5
"Chiba",0.668211306765524,20.006811862836,13.2617238183503,9113.5
"Tokyo",0.681502086230876,20.1331942512749,13.6917477978674,10082.5
"Yokohama",0.687210379981464,19.9377664504171,13.4102873030584,10511.5
"Niigata",0.623491179201486,17.7341689879294,11.313974001857,10650
"Toyama",0.595458758109361,18.935078776645,11.2465245597776,13784.5
"Kanazawa",0.605568445475638,18.8631090487239,11.9295127610209,13036
"Fukui",0.60861509958314,19.2283464566929,11.4650764242705,13344.5
"Kofu",0.747451343836886,20.8714087117702,10.747265987025,6778.5
"Nagano",0.73351775011526,17.6016136468419,8.36680497925311,5806.5
"Gifu",0.723502304147465,21.0446543778802,12.3432258064516,10541.5
"Shizuoka",0.700969081679742,21.138578680203,13.1651130595293,13377
"Nagoya",0.730254041570439,21.05792147806,12.6635103926097,9098
"Tsu",0.726811259806184,20.0995846792801,13.3383940932164,9043.5
"Hikone",0.681273062730627,18.947463099631,11.9551199261993,9001
"Kyoto",0.70327641901246,21.0215966774342,12.4220581449008,8331.5
"Osaka",0.727146814404432,21.378162511542,14.008541089566,7278.5
"Kobe",0.73142593447162,20.4377480387633,14.4810336871251,6812
"Nara",0.699123211813567,20.6012459621597,10.961282879557,7532
"Wakayama",0.736987563334869,20.8566098572087,13.6669276830953,7663.5
"Tottori",0.631117266851339,19.9532779316713,11.5265004616805,10973
"Matsue",0.655442804428044,19.6946955719557,11.9562269372694,9803
"Okayama",0.742738589211618,21.0162286768096,12.9153988012909,6172
"Hiroshima",0.743530499075786,21.0682994454714,12.937292051756,8629
"Yamaguchi",0.732348869404707,21.0565759113982,11.9142593447162,10904
"Tokushima",0.731301939058172,20.7643582640813,13.7311172668513,8787.5
"Takamatsu",0.737985212569316,20.9976894639556,13.3074399260628,6355
"Matsuyama",0.727146814404432,21.177377654663,13.2913665743306,7859
"Kochi",0.733796296296296,22.3043055555556,13.6730555555556,14538.5
"Fukuoka",0.704062788550323,21.2786241920591,14.4910433979686,9226
"Saga",0.730964467005076,21.7836640516844,13.128564836179,10457.5
"Nagasaki",0.728895320791124,21.4564399421129,14.6803666184274,9724.5
"Kumamoto",0.733025404157044,22.5431870669746,13.46896073903,11719.5
"Oita",0.720295885344429,21.2840499306519,13.4436893203883,10014
"Miyazaki",0.732283464566929,22.3163501621121,13.9982862436313,15454.5
"Kagoshima",0.719517848864163,23.2174779786741,15.8081131200742,12901
"Naha",0.695833333333333,26.0943518518519,21.4344444444444,12571
